"MSDIAL_BASulfate","[M+NH4]+","1","2"
"MSDIAL_ST 24:1;O3;S;[M+NH4]+;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O;AXDXVEYHEODSPN-HVATVPOCSA-N;C24H40O6S","474.28839","359.2945","474.2884"
"MSDIAL_ST 24:2;O3;S;[M+NH4]+;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@H](C[C@H]1CC3=O)OS(O)(=O)=O;WYQAWCKJZZTWLZ-AURDAFMXSA-N;C24H38O7S","488.26765","373.2737","488.2676"
"MSDIAL_ST 24:1;O4;S;[M+NH4]+;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;ARGCPGOJOKCMSW-LLQZFEROSA-N;C24H40O7S","490.28330","375.2894","490.2833"
"MSDIAL_ST 24:1;O5;S;[M+NH4]+;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;AUVYDCOKXDDYKR-OELDTZBJSA-N;C24H40O8S","506.27821","391.2843","506.2782"
"MSDIAL_ST 24:1;O3;G;S;[M+NH4]+;C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O;FHXBAFXQVZOILS-OETIFKLTSA-N;C26H43NO7S","531.30985","416.3159","531.3099"
"MSDIAL_ST 24:1;O4;G;S;[M+NH4]+;C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;QJZCNFGUZPMYAX-BUXLTGKBSA-N;C26H43NO8S","547.30476","432.3109","547.3047"
"MSDIAL_ST 24:1;O5;G;S;[M+NH4]+;C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;ZXUWKFXQTSOVDY-FRVQLJSFSA-N;C26H43NO9S","563.29968","448.3058","563.2997"
"MSDIAL_ST 24:1;O3;T;S;[M+NH4]+;C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O;HSNPMXROZIQAQD-GBURMNQMSA-N;C26H45NO8S2","581.29249","466.2986","581.2925"
"MSDIAL_ST 24:1;O4;T;S;[M+NH4]+;C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;UCVGCHGIKFWAGH-VAYUFCLWSA-N;C26H45NO9S2","597.28740","482.2935","597.2874"
"MSDIAL_ST 24:1;O5;T;S;[M+NH4]+;C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;LKTXOQJJFLAZRW-HZAMXZRMSA-N;C26H45NO10S2","613.28231","498.2884","613.2823"
