"MSDIAL_BASulfate","[M-H]-","1","2"
"MSDIAL_ST 24:1;O3;S;[M-H]-;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O;AXDXVEYHEODSPN-HVATVPOCSA-N;C24H40O6S","455.24728","455.2473","96.9601"
"MSDIAL_ST 24:2;O3;S;[M-H]-;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@H](C[C@H]1CC3=O)OS(O)(=O)=O;WYQAWCKJZZTWLZ-AURDAFMXSA-N;C24H38O7S","469.22655","469.2266","96.9601"
"MSDIAL_ST 24:1;O4;S;[M-H]-;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;ARGCPGOJOKCMSW-LLQZFEROSA-N;C24H40O7S","471.24220","471.2422","96.9601"
"MSDIAL_ST 24:1;O5;S;[M-H]-;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;AUVYDCOKXDDYKR-OELDTZBJSA-N;C24H40O8S","487.23711","487.2371","96.9601"
"MSDIAL_ST 24:1;O3;G;S;[M-H]-;C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O;FHXBAFXQVZOILS-OETIFKLTSA-N;C26H43NO7S","512.26875","512.2687","96.9601"
"MSDIAL_ST 24:1;O4;G;S;[M-H]-;C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;QJZCNFGUZPMYAX-BUXLTGKBSA-N;C26H43NO8S","528.26366","528.2637","96.9601"
"MSDIAL_ST 24:1;O5;G;S;[M-H]-;C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;ZXUWKFXQTSOVDY-FRVQLJSFSA-N;C26H43NO9S","544.25858","544.2586","96.9601"
"MSDIAL_ST 24:1;O3;T;S;[M-H]-;C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O;HSNPMXROZIQAQD-GBURMNQMSA-N;C26H45NO8S2","562.25138","562.2514","96.9601"
"MSDIAL_ST 24:1;O4;T;S;[M-H]-;C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;UCVGCHGIKFWAGH-VAYUFCLWSA-N;C26H45NO9S2","578.24630","578.2463","96.9601"
"MSDIAL_ST 24:1;O5;T;S;[M-H]-;C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)OS(O)(=O)=O;LKTXOQJJFLAZRW-HZAMXZRMSA-N;C26H45NO10S2","594.24121","594.2412","96.9601"
